Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Power,Price,Model,Brand
2014,40000,Diesel,Automatic,First,22.32,126.32,5.25,VERNA 1.6 SX CRDI (O) AT,Hyundai
2017,30000,Diesel,Automatic,First,11.36,171.5,19.25,INNOVA CRYSTA 2.8 ZX AT,Toyota
2017,38053,Petrol,Manual,First,15.1,73.0,3.91,EECO 5 SEATER AC,Maruti
2014,25500,Petrol,Manual,First,25.4,37.5,2.15,NANO TWIST XT,Tata
2015,56087,Diesel,Automatic,First,22.69,190.0,20.75,3 SERIES 320D LUXURY LINE,BMW
2010,71088,Petrol,Manual,First,13.5,130.0,3.35,CIVIC 2006-2010 1.8 V MT,Honda
2014,55000,Diesel,Manual,First,12.99,100.6,11.11,INNOVA 2.5 VX (DIESEL) 7 SEATER,Toyota
2014,32700,Diesel,Automatic,First,23.3,150.0,20.0,V40 CROSS COUNTRY D3,Volvo
2016,39882,Petrol,Automatic,First,19.15,75.94,6.55,MICRA XV CVT,Nissan
2009,128000,Petrol,Automatic,First,10.8,215.0,7.0,5 SERIES 2010-2013 525I,BMW
2016,55000,Diesel,Manual,First,24.3,88.5,7.5,VITARA BREZZA VDI,Maruti
2005,102000,Petrol,Manual,Second,17.0,97.7,0.85,SANTRO XING XL ERLX EURO III,Hyundai
2014,53753,Diesel,Automatic,Second,15.0,107.3,16.75,B CLASS B200 CDI,Mercedes-Benz
2018,10250,Diesel,Manual,First,22.0,126.2,10.95,VERNA CRDI 1.6 SX OPTION,Hyundai
2011,43874,Petrol,Manual,First,18.9,67.1,2.45,WAGON R LXI BS IV,Maruti
2017,32684,Petrol,Automatic,First,21.9,37.48,3.23,NANO XTA,Tata
2014,42000,Diesel,Manual,First,12.05,120.0,7.75,SCORPIO VLX,Mahindra
2009,28352,Petrol,Automatic,First,11.7,178.0,9.35,NEW C-CLASS 200 K AT,Mercedes-Benz
2013,89900,CNG,Manual,First,26.6,58.16,3.25,WAGON R LXI CNG,Maruti
2007,47700,Petrol,Manual,Second,10.8,152.0,5.25,CR-V 2.4 MT,Honda
2015,55000,Diesel,Automatic,First,21.21,103.2,7.25,VENTO 1.5 TDI COMFORTLINE AT,Volkswagen
2017,44285,Petrol,Manual,First,20.73,91.1,7.47,CIAZ VXI PLUS,Maruti
2016,54000,Diesel,Automatic,First,16.0,140.0,13.25,XUV500 AT W10 FWD,Mahindra
2016,30232,Petrol,Manual,First,21.1,85.8,5.81,RITZ VXI ABS,Maruti
2014,88500,Petrol,Manual,First,24.07,67.1,2.6,ALTO K10 VXI,Maruti
2017,13372,Petrol,Automatic,First,19.0,97.7,54.0,SLC 43 AMG,Mercedes-Benz
2019,12645,Petrol,Automatic,First,17.0,121.3,11.5,VERNA VTVT 1.6 AT SX PLUS,Hyundai
2010,94385,Petrol,Manual,Second,19.7,46.3,1.6,ALTO LXI BSIII,Maruti
2015,31821,Diesel,Automatic,First,20.58,143.0,17.22,1 SERIES 118D BASE,BMW
2015,12000,Petrol,Automatic,First,19.0,88.7,6.0,JAZZ 1.2 V CVT I VTEC,Honda
2012,88578,Petrol,Manual,First,13.5,130.0,3.95,CIVIC 2006-2010 1.8 V MT,Honda
2014,44965,Diesel,Automatic,First,19.27,170.0,17.95,NEW C-CLASS C 220 CDI AVANTGARDE,Mercedes-Benz
2014,45044,Diesel,Manual,First,25.8,98.6,3.7,AMAZE SX I-DTEC,Honda
2016,34204,Petrol,Manual,First,22.0,81.8,5.43,SWIFT VVT VXI,Maruti
2008,80759,Petrol,Manual,Third,17.0,97.7,1.67,SANTRO XING XO ERLX EURO II,Hyundai
2012,91235,Diesel,Manual,First,11.5,171.0,13.49,FORTUNER 3.0 DIESEL,Toyota
2014,38800,Petrol,Manual,First,18.6,76.8,2.85,BEAT LT OPTION,Chevrolet
2013,83000,Diesel,Manual,First,21.14,103.52,4.75,RAPID 1.5 TDI ELEGANCE,Skoda
2018,41283,Petrol,Manual,First,20.73,91.1,9.9,CIAZ 1.4 ALPHA,Maruti
2013,23000,Petrol,Automatic,First,11.05,97.7,37.0,RS5 COUPE,Audi
2014,48000,Diesel,Automatic,First,21.76,190.0,26.5,3 SERIES LUXURY LINE,BMW
2015,48214,Diesel,Automatic,First,17.11,174.33,23.32,A4 2.0 TDI 177 BHP PREMIUM PLUS,Audi
2016,35000,Diesel,Manual,First,22.9,74.0,6.25,SWIFT VDI,Maruti
2010,35277,Petrol,Automatic,First,7.81,97.7,30.0,S CLASS 2005 2013 S 500,Mercedes-Benz
2016,54620,Diesel,Automatic,First,21.66,103.52,9.86,RAPID 1.5 TDI AT ELEGANCE PLUS BLACK PACKAGE,Skoda
2012,53000,Diesel,Automatic,First,17.2,138.1,8.5,SUPERB ELEGANCE 2.0 TDI CR AT,Skoda
2019,14322,Petrol,Manual,First,21.1,55.2,4.23,EON MAGNA PLUS,Hyundai
2012,65634,Diesel,Manual,First,22.07,73.9,3.5,POLO DIESEL TRENDLINE 1.2L,Volkswagen
2016,6000,Petrol,Manual,First,20.63,67.06,2.5,GO NXT,Datsun
2013,33280,Petrol,Manual,First,19.4,86.8,2.39,BRIO S MT,Honda
2013,29000,Petrol,Automatic,First,14.8,120.7,11.25,B CLASS B180,Mercedes-Benz
2015,42831,Diesel,Manual,First,26.0,98.6,7.11,CITY I DTEC V,Honda
2016,90000,Diesel,Manual,First,12.99,100.6,10.9,INNOVA 2.5 G (DIESEL) 7 SEATER,Toyota
2017,24005,Petrol,Manual,First,20.4,81.8,6.2,SWIFT VXI OPTIONAL,Maruti
2012,32792,Diesel,Manual,First,15.1,140.0,7.9,XUV500 W8 2WD,Mahindra
2014,53000,Diesel,Manual,First,22.7,89.84,4.42,ECOSPORT 1.5 DV5 MT AMBIENTE,Ford
2012,53000,Diesel,Manual,First,13.0,168.5,13.5,FORTUNER 4X2 MANUAL,Toyota
2013,65000,Diesel,Automatic,First,21.5,108.5,6.25,VENTO 1.5 HIGHLINE PLUS AT 16 ALLOY,Volkswagen
2010,66123,Diesel,Manual,Second,20.0,68.0,2.1,FIGO DIESEL TITANIUM,Ford
2015,41000,Diesel,Automatic,First,15.3,97.7,45.0,X5 XDRIVE 30D,BMW
2017,23550,Diesel,Automatic,First,19.27,167.62,33.66,NEW C-CLASS C 220 CDI STYLE,Mercedes-Benz
2012,45000,Petrol,Manual,Second,19.4,86.8,3.65,BRIO V MT,Honda
2013,60000,Petrol,Manual,First,20.36,78.9,2.75,I10 MAGNA 1.2,Hyundai
2016,44414,Diesel,Automatic,First,17.9,170.0,42.5,GLC 220,Mercedes-Benz
2019,1000,Petrol,Manual,First,18.9,81.86,6.5,GRAND I10 1.2 KAPPA ASTA,Hyundai
2012,62500,Diesel,Automatic,Second,17.68,174.33,19.0,A6 2011-2015 2.0 TDI PREMIUM PLUS,Audi
2013,21000,Petrol,Automatic,Second,14.4,103.6,4.45,VENTO PETROL HIGHLINE AT,Volkswagen
2017,8525,Diesel,Automatic,Second,16.6,112.0,23.0,COUNTRYMAN COOPER D,Mini
2014,29000,Diesel,Manual,First,22.54,88.73,8.35,I20 ASTA 1.4 CRDI,Hyundai
2014,40000,Diesel,Automatic,First,17.68,174.33,22.95,A6 2011-2015 2.0 TDI PREMIUM PLUS,Audi
2012,88000,Diesel,Manual,First,25.44,57.6,1.5,BEAT DIESEL LT,Chevrolet
2012,53537,Petrol,Automatic,First,13.7,157.75,6.89,SUPERB ELEGANCE 1.8 TSI AT,Skoda
2006,53000,Diesel,Manual,Second,17.8,68.0,1.45,FIESTA 1.4 TDCI EXI LIMITED EDITION,Ford
2014,51000,Diesel,Automatic,First,22.48,190.0,33.5,5 SERIES 520D LUXURY LINE,BMW
2007,118500,Petrol,Manual,First,12.9,102.5,1.25,OPTRA MAGNUM 1.6 LS BS3,Chevrolet
2012,63000,Diesel,Manual,First,22.07,73.9,4.2,POLO DIESEL HIGHLINE 1.2L,Volkswagen
2015,25000,Diesel,Manual,First,19.98,108.5,6.75,LODGY 110PS RXZ 8 SEATER,Renault
2014,37382,Diesel,Automatic,First,13.0,201.1,32.0,E-CLASS E250 CDI AVANTGRADE,Mercedes-Benz
2017,24773,Petrol,Manual,First,21.4,83.1,7.5,BALENO ALPHA,Maruti
2012,62000,Diesel,Manual,First,22.32,126.32,4.6,VERNA 1.6 SX,Hyundai
2017,52340,Petrol,Manual,First,19.81,68.05,4.04,I10 MAGNA 1.1,Hyundai
2016,56739,Diesel,Manual,First,15.4,120.0,10.31,SCORPIO 1.99 S10 4WD,Mahindra
2018,36091,Diesel,Automatic,First,12.7,187.7,55.76,ROVER RANGE ROVER 2.2L DYNAMIC,Land
2010,120000,Diesel,Manual,First,20.0,68.0,2.6,FIGO DIESEL ZXI,Ford
2016,33000,Diesel,Manual,First,25.47,88.5,8.5,ERTIGA ZDI,Maruti
2007,60006,Petrol,Manual,First,18.15,97.7,2.95,CITY 1.5 GXI,Honda
2014,52000,Diesel,Manual,First,25.8,98.6,3.5,AMAZE S I-DTECH,Honda
2015,43571,Petrol,Manual,First,20.36,78.9,3.55,I10 MAGNA,Hyundai
2013,50000,Diesel,Manual,First,25.8,98.6,3.25,AMAZE S I-DTECH,Honda
2008,113000,Diesel,Manual,First,17.5,106.0,4.5,LAURA AMBIENTE,Skoda
2014,90000,Diesel,Manual,First,19.87,83.8,5.35,DUSTER 85PS DIESEL RXL,Renault
2017,29000,Diesel,Manual,Second,17.45,100.0,6.5,NUVOSPORT N6,Mahindra
2016,20000,Diesel,Manual,First,24.3,88.5,9.0,VITARA BREZZA ZDI PLUS DUAL TONE,Maruti
2016,61012,Petrol,Manual,First,18.6,81.83,6.0,I20 ASTA OPTION 1.2,Hyundai
2009,87459,Petrol,Manual,First,14.7,85.0,2.75,FABIA 1.4 MPI AMBIENTE,Skoda
2010,70500,Petrol,Manual,First,15.64,64.1,1.5,INDIGO ECS GLX,Tata
2015,64103,Diesel,Automatic,First,15.73,174.33,19.9,Q3 2012-2015 35 TDI QUATTRO PREMIUM PLUS,Audi
2014,76000,Petrol,Automatic,First,14.7,177.5,10.0,OCTAVIA ELEGANCE 1.8 TSI AT,Skoda
2014,104000,Diesel,Manual,First,23.59,67.06,3.0,ETIOS LIVA GD SP,Toyota
2010,42001,Petrol,Manual,First,16.1,97.7,2.11,SWIFT 1.3 VXI,Maruti
2014,37245,Petrol,Automatic,First,14.8,120.7,11.96,B CLASS B180,Mercedes-Benz
2013,45000,Diesel,Manual,First,27.4,98.6,3.25,AMAZE S DIESEL,Honda
2012,117837,Diesel,Manual,Second,22.32,126.32,4.75,VERNA 1.6 SX,Hyundai
2014,30000,Diesel,Manual,First,20.46,83.8,5.95,DUSTER 85PS DIESEL RXL OPTIONAL,Renault
2015,27057,Petrol,Manual,Second,15.29,121.3,8.15,CRETA 1.6 VTVT S,Hyundai
2016,8500,Petrol,Automatic,First,20.51,67.0,4.22,WAGON R AMT VXI,Maruti
2010,30500,Petrol,Automatic,First,11.74,186.0,10.5,NEW C-CLASS C250 AVANTGARDE,Mercedes-Benz
2012,56000,Diesel,Automatic,First,11.8,97.7,45.0,A8 L 3.0 TDI QUATTRO,Audi
2012,44000,Petrol,Manual,Second,19.81,68.05,2.9,I10 MAGNA 1.1,Hyundai
2017,10500,Petrol,Automatic,First,14.3,103.52,8.9,RAPID 1.6 MPI AT STYLE BLACK PACKAGE,Skoda
2017,26000,Petrol,Automatic,First,14.67,177.46,26.0,SUPERB STYLE 1.8 TSI AT,Skoda
2018,25166,Petrol,Manual,First,17.19,81.86,8.22,I20 ACTIVE 1.2 SX,Hyundai
2014,64000,Diesel,Manual,Second,25.8,98.6,3.5,AMAZE VX I-DTEC,Honda
2004,61000,Petrol,Manual,Second,18.9,67.1,1.25,WAGON R LXI,Maruti
2013,107000,Diesel,Manual,First,21.03,65.0,3.7,VERITO 1.5 D4 BSIV,Mahindra
2018,29161,Diesel,Automatic,First,19.27,167.62,39.41,NEW C-CLASS C 220D AVANTGARDE EDITION C,Mercedes-Benz
2013,32000,Petrol,Manual,First,22.5,67.04,2.65,WAGON R VXI,Maruti
2015,46173,Diesel,Manual,Second,19.01,108.5,8.92,TERRANO XV PREMIUM 110 PS ANNIVERSARY EDITION,Nissan
2013,47000,Diesel,Manual,First,17.8,97.7,4.1,SWIFT VDI BSIV,Maruti
2017,26327,Petrol,Automatic,First,16.82,189.08,35.67,COOPER CONVERTIBLE S,Mini
2015,70436,Diesel,Manual,First,18.15,99.0,3.6,FIGO DIESEL,Ford
2007,53000,Diesel,Manual,Second,17.2,53.5,0.85,INDICA V2 DLS BSII,Tata
2016,60813,Petrol,Manual,Second,18.6,76.8,3.32,BEAT LT,Chevrolet
2012,45000,Diesel,Manual,First,22.07,73.9,3.6,POLO DIESEL COMFORTLINE 1.2L,Volkswagen
2016,64000,Diesel,Manual,First,22.9,74.0,6.8,SWIFT ZDI,Maruti
2012,41284,Diesel,Manual,First,20.0,68.05,2.5,FIGO DIESEL EXI,Ford
2019,14165,Diesel,Automatic,First,11.36,171.5,19.64,INNOVA CRYSTA 2.8 GX AT,Toyota
2011,67000,Diesel,Automatic,Second,11.72,194.3,7.0,SANTA FE 4X4 AT,Hyundai
2011,32572,Petrol,Manual,First,17.4,117.3,3.87,CITY I-VTEC V,Honda
2018,14960,Petrol,Manual,First,18.6,81.83,6.27,I20 1.2 MAGNA EXECUTIVE,Hyundai
2015,55980,Diesel,Automatic,First,19.27,167.62,18.12,NEW C-CLASS C 220D AVANTGARDE EDITION C,Mercedes-Benz
2013,74000,Diesel,Manual,First,25.44,57.6,2.65,BEAT DIESEL LT,Chevrolet
2015,56847,Diesel,Manual,First,22.54,88.73,7.2,I20 SPORTZ 1.4 CRDI,Hyundai
2015,121374,Diesel,Manual,First,12.99,100.6,14.3,INNOVA 2.5 Z DIESEL 7 SEATER,Toyota
2013,52000,Diesel,Manual,First,20.77,88.76,6.9,ERTIGA VDI,Maruti
2014,118000,Diesel,Manual,First,12.8,102.0,10.75,INNOVA 2.5 V DIESEL 7-SEATER,Toyota
2007,72000,Petrol,Manual,Third,17.0,97.7,0.95,SANTRO XING XO ERLX EURO II,Hyundai
2016,33915,Petrol,Manual,First,17.8,117.3,8.09,CITY I VTEC V,Honda
2014,82002,Diesel,Automatic,First,17.05,184.0,18.5,X1 SDRIVE20D,BMW
2017,33000,Diesel,Manual,First,24.0,70.0,4.75,GRAND I10 CRDI ERA,Hyundai
2016,34000,Diesel,Manual,First,28.09,88.5,8.45,CIAZ 1.3 ALPHA,Maruti
2012,55000,Diesel,Manual,First,20.5,103.6,3.5,RAPID LEISURE 1.6 TDI MT,Skoda
2006,53000,Diesel,Manual,First,13.1,82.0,1.8,ACCENT CRDI,Hyundai
2014,60000,Diesel,Manual,Second,19.91,103.6,3.7,POLO GT 1.5 TDI,Volkswagen
2017,49575,Petrol,Manual,First,18.7,88.7,7.17,JAZZ 1.2 VX I VTEC,Honda
2010,83000,Petrol,Manual,First,19.81,68.05,1.75,I10 ERA,Hyundai
2018,51346,Diesel,Automatic,First,16.38,183.0,21.99,TUCSON 2.0 E-VGT 2WD AT GLS,Hyundai
2017,43000,Diesel,Manual,First,13.68,147.8,18.65,INNOVA CRYSTA 2.4 ZX MT,Toyota
2011,35000,Petrol,Manual,Third,19.7,35.0,1.85,OMNI MPI CARGO BSIII W/ IMMOBILISER,Maruti
2017,27872,Petrol,Manual,Second,20.4,81.8,5.95,SWIFT VXI BSIV,Maruti
2014,16514,Petrol,Manual,First,18.9,82.0,3.75,GRAND I10 MAGNA,Hyundai
2012,120000,Diesel,Manual,First,22.9,74.0,3.75,SWIFT VDI,Maruti
2008,53000,Diesel,Manual,First,22.0,126.2,2.6,VERNA CRDI 1.6 SX,Hyundai
2006,99000,Petrol,Manual,First,18.15,97.7,1.75,SANTRO XING XL,Hyundai
2010,52000,Petrol,Manual,First,17.0,80.0,2.8,I20 1.2 SPORTZ,Hyundai
2017,29819,Diesel,Automatic,First,11.57,97.7,61.29,GLE 350D,Mercedes-Benz
2014,57000,Diesel,Manual,Second,15.8,170.0,18.0,NEW C-CLASS C 220 CDI CLASSIC,Mercedes-Benz
2014,88500,Diesel,Manual,First,23.2,73.94,4.35,RITZ ZDI,Maruti
2016,28000,Diesel,Manual,First,19.67,126.2,13.75,CRETA 1.6 CRDI SX,Hyundai
2010,67000,Petrol,Manual,First,19.0,66.1,2.0,A-STAR VXI,Maruti
2016,26000,Diesel,Manual,First,19.64,108.45,10.0,DUSTER 110PS DIESEL RXZ OPTION,Renault
2010,120000,Diesel,Manual,First,17.8,76.0,1.65,GRANDE PUNTO 1.3 EMOTION PACK (DIESEL),Fiat
