Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Power,Brand,Model
Pune,2011,65000,Diesel,Manual,Second,15.0,170.0,MERCEDES-BENZ,NEW C-CLASS 200 CDI CLASSIC
Chennai,2016,178000,Diesel,Manual,First,25.0,69.0,TATA,INDICA V2 ELS
Jaipur,2012,65664,Diesel,Automatic,First,16.0,140.0,AUDI,A4 2.0 TDI MULTITRONIC
Mumbai,2007,63000,Petrol,Automatic,Second,16.0,78.0,HONDA,CITY ZX CVT
Coimbatore,2019,15369,Diesel,Automatic,First,0.0,194.0,MERCEDES-BENZ,C-CLASS PROGRESSIVE C 220D
Pune,2016,63000,Diesel,Manual,First,24.0,88.0,MARUTI,ERTIGA SHVS VDI
Mumbai,2018,13000,Diesel,Manual,First,22.0,88.0,HYUNDAI,CRETA 1.4 E PLUS DIESEL
Mumbai,2008,73000,Petrol,Automatic,First,8.0,500.0,PORSCHE,CAYENNE 2009-2014 TURBO
Mumbai,2015,55729,Diesel,Manual,First,15.0,140.0,MAHINDRA,XUV500 W8 4WD
Kochi,2012,45178,Petrol,Automatic,First,16.0,78.0,HYUNDAI,I10 SPORTZ 1.2 AT
Kochi,2015,56066,Diesel,Manual,First,19.0,108.0,NISSAN,TERRANO XV D PRE
Coimbatore,2016,37300,Petrol,Automatic,Second,16.0,86.0,HONDA,BRIO VX AT
Delhi,2014,56000,Diesel,Automatic,Second,18.0,187.0,AUDI,A6 2.0 TDI DESIGN EDITION
Jaipur,2008,111111,Diesel,Manual,First,17.0,97.0,FORD,FIESTA 1.4 SXI TDCI
Chennai,2006,230000,Petrol,Manual,Third,12.0,132.0,TOYOTA,INNOVA 2.0 G1
Hyderabad,2012,104000,Diesel,Manual,First,12.0,102.0,TOYOTA,INNOVA 2.5 VX 7 STR BSIV
Hyderabad,2005,87591,Petrol,Manual,First,0.0,97.0,HYUNDAI,SANTRO XING XL
Jaipur,2012,95100,Diesel,Manual,First,22.0,74.0,MARUTI,SWIFT VDI
Pune,2017,70000,Petrol,Manual,First,17.0,88.0,TATA,ZEST REVOTRON 1.2T XE
Kochi,2016,54944,Petrol,Manual,First,18.0,86.0,HONDA,AMAZE SX I-VTEC
Hyderabad,2012,70337,Diesel,Manual,First,20.0,68.0,FORD,FIGO DIESEL ZXI
Jaipur,2013,99638,Diesel,Manual,First,23.0,73.0,MARUTI,RITZ VDI
Delhi,2009,52000,Petrol,Manual,First,17.0,117.0,HONDA,CITY I VTEC E
Delhi,2011,75000,Diesel,Automatic,Second,16.0,218.0,BMW,5 SERIES 2003-2012 525D
Pune,2009,95980,Petrol,Manual,First,20.0,78.0,HYUNDAI,I10 SPORTZ 1.2
Bangalore,2016,16000,Petrol,Manual,First,18.0,82.0,HYUNDAI,GRAND I10 SPORTZ
Hyderabad,2007,73745,Petrol,Manual,First,17.0,97.0,HYUNDAI,SANTRO XING XO
Mumbai,2016,18949,Petrol,Manual,First,17.0,86.0,HONDA,AMAZE SX I-VTEC
Delhi,2014,107000,Diesel,Manual,First,13.0,168.0,TOYOTA,FORTUNER 4X2 MANUAL
Coimbatore,2018,48367,Diesel,Automatic,First,17.0,174.0,AUDI,A6 2011-2015 35 TDI PREMIUM
Delhi,2013,57000,Diesel,Manual,First,22.0,89.0,FORD,ECOSPORT 1.5 DV5 MT TITANIUM OPTIONAL
Delhi,2014,58000,Diesel,Manual,First,15.0,140.0,MAHINDRA,XUV500 W8 2WD
Kolkata,2015,30000,Diesel,Manual,First,25.0,98.0,HONDA,AMAZE SX I-DTEC
Kolkata,2013,34212,Diesel,Manual,First,22.0,73.0,VOLKSWAGEN,POLO DIESEL HIGHLINE 1.2L
Ahmedabad,2010,70002,Diesel,Manual,First,16.0,110.0,HYUNDAI,VERNA TRANSFORM SX VGT CRDI
Bangalore,2016,62000,Petrol,Manual,First,18.0,67.0,MARUTI,WAGON R VXI BS IV
Delhi,2010,62001,Petrol,Manual,First,15.0,103.0,VOLKSWAGEN,POLO PETROL HIGHLINE 1.6L
Pune,2011,78958,Diesel,Manual,Second,23.0,90.0,HYUNDAI,I20 1.4 CRDI SPORTZ
Mumbai,2014,30180,Petrol,Manual,First,18.0,82.0,HYUNDAI,I20 ASTA 1.2
Pune,2017,32851,Petrol,Manual,First,19.0,67.0,DATSUN,GO PLUS T PETROL
Kolkata,2010,30000,Diesel,Automatic,First,14.0,241.0,AUDI,A4 3.0 TDI QUATTRO PREMIUM
Pune,2009,66000,Petrol,Manual,Second,17.0,80.0,HYUNDAI,I20 2015-2017 ASTA
Coimbatore,2010,93850,Petrol,Manual,First,14.0,35.0,MARUTI,OMNI 5 STR STD
Ahmedabad,2014,53000,Petrol,Manual,First,17.0,78.0,TOYOTA,ETIOS LIVA 1.2 G
Hyderabad,2011,78000,Diesel,Automatic,Second,14.0,270.0,JAGUAR,XF 3.0 LITRE S PREMIUM LUXURY
Delhi,2012,65000,Diesel,Manual,Second,16.0,140.0,MAHINDRA,XUV500 W8 2WD
Kolkata,2014,40000,Diesel,Automatic,First,22.0,126.0,HYUNDAI,VERNA 1.6 SX CRDI (O) AT
Mumbai,2017,30000,Diesel,Automatic,First,11.0,171.0,TOYOTA,INNOVA CRYSTA 2.8 ZX AT
Coimbatore,2017,38053,Petrol,Manual,First,15.0,73.0,MARUTI,EECO 5 SEATER AC
Bangalore,2014,25500,Petrol,Manual,First,25.0,37.0,TATA,NANO TWIST XT
Mumbai,2015,56087,Diesel,Automatic,First,22.0,190.0,BMW,3 SERIES 320D LUXURY LINE
Delhi,2010,71088,Petrol,Manual,First,13.0,130.0,HONDA,CIVIC 2006-2010 1.8 V MT
Ahmedabad,2014,55000,Diesel,Manual,First,12.0,100.0,TOYOTA,INNOVA 2.5 VX (DIESEL) 7 SEATER
Bangalore,2014,32700,Diesel,Automatic,First,23.0,150.0,VOLVO,V40 CROSS COUNTRY D3
Coimbatore,2016,39882,Petrol,Automatic,First,19.0,75.0,NISSAN,MICRA XV CVT
Mumbai,2009,128000,Petrol,Automatic,First,10.0,215.0,BMW,5 SERIES 2010-2013 525I
Mumbai,2016,55000,Diesel,Manual,First,24.0,88.0,MARUTI,VITARA BREZZA VDI
Mumbai,2005,102000,Petrol,Manual,Second,17.0,97.0,HYUNDAI,SANTRO XING XL ERLX EURO III
Pune,2014,53753,Diesel,Automatic,Second,15.0,107.0,MERCEDES-BENZ,B CLASS B200 CDI
Kolkata,2018,10250,Diesel,Manual,First,22.0,126.0,HYUNDAI,VERNA CRDI 1.6 SX OPTION
Pune,2011,43874,Petrol,Manual,First,18.0,67.0,MARUTI,WAGON R LXI BS IV
Coimbatore,2017,32684,Petrol,Automatic,First,21.0,37.0,TATA,NANO XTA
Kolkata,2014,42000,Diesel,Manual,First,12.0,120.0,MAHINDRA,SCORPIO VLX
Kolkata,2009,28352,Petrol,Automatic,First,11.0,178.0,MERCEDES-BENZ,NEW C-CLASS 200 K AT
Pune,2013,89900,CNG,Manual,First,26.0,58.0,MARUTI,WAGON R LXI CNG
Bangalore,2007,47700,Petrol,Manual,Second,10.0,152.0,HONDA,CR-V 2.4 MT
Pune,2015,55000,Diesel,Automatic,First,21.0,103.0,VOLKSWAGEN,VENTO 1.5 TDI COMFORTLINE AT
Kochi,2017,44285,Petrol,Manual,First,20.0,91.0,MARUTI,CIAZ VXI PLUS
Jaipur,2016,54000,Diesel,Automatic,First,16.0,140.0,MAHINDRA,XUV500 AT W10 FWD
Coimbatore,2016,30232,Petrol,Manual,First,21.0,85.0,MARUTI,RITZ VXI ABS
Hyderabad,2014,88500,Petrol,Manual,First,24.0,67.0,MARUTI,ALTO K10 VXI
Kolkata,2017,13372,Petrol,Automatic,First,19.0,362.0,MERCEDES-BENZ,SLC 43 AMG
Kochi,2019,12645,Petrol,Automatic,First,17.0,121.0,HYUNDAI,VERNA VTVT 1.6 AT SX PLUS
Chennai,2010,94385,Petrol,Manual,Second,19.0,46.0,MARUTI,ALTO LXI BSIII
Coimbatore,2015,31821,Diesel,Automatic,First,20.0,143.0,BMW,1 SERIES 118D BASE
Mumbai,2015,12000,Petrol,Automatic,First,19.0,88.0,HONDA,JAZZ 1.2 V CVT I VTEC
Delhi,2012,88578,Petrol,Manual,First,13.0,130.0,HONDA,CIVIC 2006-2010 1.8 V MT
Kochi,2014,44965,Diesel,Automatic,First,19.0,170.0,MERCEDES-BENZ,NEW C-CLASS C 220 CDI AVANTGARDE
Kolkata,2014,45044,Diesel,Manual,First,25.0,98.0,HONDA,AMAZE SX I-DTEC
Kochi,2016,34204,Petrol,Manual,First,22.0,81.0,MARUTI,SWIFT VVT VXI
Kochi,2008,80759,Petrol,Manual,Third,17.0,97.0,HYUNDAI,SANTRO XING XO ERLX EURO II
Coimbatore,2012,91235,Diesel,Manual,First,11.0,171.0,TOYOTA,FORTUNER 3.0 DIESEL
Pune,2014,38800,Petrol,Manual,First,18.0,76.0,CHEVROLET,BEAT LT OPTION
Chennai,2013,83000,Diesel,Manual,First,21.0,103.0,SKODA,RAPID 1.5 TDI ELEGANCE
Kochi,2018,41283,Petrol,Manual,First,20.0,91.0,MARUTI,CIAZ 1.4 ALPHA
Mumbai,2013,23000,Petrol,Automatic,First,11.0,444.0,AUDI,RS5 COUPE
Mumbai,2014,48000,Diesel,Automatic,First,21.0,190.0,BMW,3 SERIES LUXURY LINE
Coimbatore,2015,48214,Diesel,Automatic,First,17.0,174.0,AUDI,A4 2.0 TDI 177 BHP PREMIUM PLUS
Chennai,2016,35000,Diesel,Manual,First,22.0,74.0,MARUTI,SWIFT VDI
Kolkata,2010,35277,Petrol,Automatic,First,7.0,362.0,MERCEDES-BENZ,S CLASS 2005 2013 S 500
Coimbatore,2016,54620,Diesel,Automatic,First,21.0,103.0,SKODA,RAPID 1.5 TDI AT ELEGANCE PLUS BLACK PACKAGE
Pune,2012,136997,Diesel,Automatic,First,17.0,138.0,SKODA,SUPERB ELEGANCE 2.0 TDI CR AT
Kochi,2019,14322,Petrol,Manual,First,21.0,55.0,HYUNDAI,EON MAGNA PLUS
Jaipur,2012,65634,Diesel,Manual,First,22.0,73.0,VOLKSWAGEN,POLO DIESEL TRENDLINE 1.2L
Kolkata,2016,6000,Petrol,Manual,First,20.0,67.0,DATSUN,GO NXT
Kolkata,2013,33280,Petrol,Manual,First,19.0,86.0,HONDA,BRIO S MT
Delhi,2013,29000,Petrol,Automatic,First,14.0,120.0,MERCEDES-BENZ,B CLASS B180
Kochi,2015,42831,Diesel,Manual,First,26.0,98.0,HONDA,CITY I DTEC V
Ahmedabad,2016,90000,Diesel,Manual,First,12.0,100.0,TOYOTA,INNOVA 2.5 G (DIESEL) 7 SEATER
Ahmedabad,2017,24005,Petrol,Manual,First,20.0,81.0,MARUTI,SWIFT VXI OPTIONAL
Mumbai,2012,32792,Diesel,Manual,First,15.0,140.0,MAHINDRA,XUV500 W8 2WD
Kochi,2014,147898,Diesel,Manual,First,22.0,89.0,FORD,ECOSPORT 1.5 DV5 MT AMBIENTE
Mumbai,2012,131765,Diesel,Manual,First,13.0,168.0,TOYOTA,FORTUNER 4X2 MANUAL
Chennai,2013,65000,Diesel,Automatic,First,21.0,108.0,VOLKSWAGEN,VENTO 1.5 HIGHLINE PLUS AT 16 ALLOY
Jaipur,2010,66123,Diesel,Manual,Second,20.0,68.0,FORD,FIGO DIESEL TITANIUM
Mumbai,2015,41000,Diesel,Automatic,First,15.0,258.0,BMW,X5 XDRIVE 30D
Coimbatore,2017,23550,Diesel,Automatic,First,19.0,167.0,MERCEDES-BENZ,NEW C-CLASS C 220 CDI STYLE
Bangalore,2012,45000,Petrol,Manual,Second,19.0,86.0,HONDA,BRIO V MT
Delhi,2013,60000,Petrol,Manual,First,20.0,78.0,HYUNDAI,I10 MAGNA 1.2
Bangalore,2016,44414,Diesel,Automatic,First,17.0,170.0,MERCEDES-BENZ,GLC 220
Kolkata,2019,1000,Petrol,Manual,First,18.0,81.0,HYUNDAI,GRAND I10 1.2 KAPPA ASTA
Mumbai,2012,62500,Diesel,Automatic,Second,17.0,174.0,AUDI,A6 2011-2015 2.0 TDI PREMIUM PLUS
Mumbai,2013,21000,Petrol,Automatic,Second,14.0,103.0,VOLKSWAGEN,VENTO PETROL HIGHLINE AT
Jaipur,2017,8525,Diesel,Automatic,Second,16.0,112.0,MINI,COUNTRYMAN COOPER D
Bangalore,2014,29000,Diesel,Manual,First,22.0,88.0,HYUNDAI,I20 ASTA 1.4 CRDI
Mumbai,2014,40000,Diesel,Automatic,First,17.0,174.0,AUDI,A6 2011-2015 2.0 TDI PREMIUM PLUS
Jaipur,2012,88000,Diesel,Manual,First,25.0,57.0,CHEVROLET,BEAT DIESEL LT
Kochi,2012,53537,Petrol,Automatic,First,13.0,157.0,SKODA,SUPERB ELEGANCE 1.8 TSI AT
Chennai,2006,216000,Diesel,Manual,Second,17.0,68.0,FORD,FIESTA 1.4 TDCI EXI LIMITED EDITION
Hyderabad,2014,51000,Diesel,Automatic,First,22.0,190.0,BMW,5 SERIES 520D LUXURY LINE
Jaipur,2007,118500,Petrol,Manual,First,12.0,102.0,CHEVROLET,OPTRA MAGNUM 1.6 LS BS3
Hyderabad,2012,63000,Diesel,Manual,First,22.0,73.0,VOLKSWAGEN,POLO DIESEL HIGHLINE 1.2L
Mumbai,2015,25000,Diesel,Manual,First,19.0,108.0,RENAULT,LODGY 110PS RXZ 8 SEATER
Bangalore,2014,37382,Diesel,Automatic,First,13.0,201.0,MERCEDES-BENZ,E-CLASS E250 CDI AVANTGRADE
Kochi,2017,24773,Petrol,Manual,First,21.0,83.0,MARUTI,BALENO ALPHA
Delhi,2012,62000,Diesel,Manual,First,22.0,126.0,HYUNDAI,VERNA 1.6 SX
Kochi,2017,52340,Petrol,Manual,First,19.0,68.0,HYUNDAI,I10 MAGNA 1.1
Kochi,2016,56739,Diesel,Manual,First,15.0,120.0,MAHINDRA,SCORPIO 1.99 S10 4WD
Coimbatore,2018,36091,Diesel,Automatic,First,12.0,187.0,LAND,ROVER RANGE ROVER 2.2L DYNAMIC
Chennai,2010,120000,Diesel,Manual,First,20.0,68.0,FORD,FIGO DIESEL ZXI
Mumbai,2016,33000,Diesel,Manual,First,25.0,88.0,MARUTI,ERTIGA ZDI
Ahmedabad,2007,60006,Petrol,Manual,First,0.0,97.0,HONDA,CITY 1.5 GXI
Kolkata,2014,52000,Diesel,Manual,First,25.0,98.0,HONDA,AMAZE S I-DTECH
Jaipur,2015,43571,Petrol,Manual,First,20.0,78.0,HYUNDAI,I10 MAGNA
Kolkata,2013,50000,Diesel,Manual,First,25.0,98.0,HONDA,AMAZE S I-DTECH
Hyderabad,2008,113000,Diesel,Manual,First,17.0,106.0,SKODA,LAURA AMBIENTE
Delhi,2014,90000,Diesel,Manual,First,19.0,83.0,RENAULT,DUSTER 85PS DIESEL RXL
Chennai,2017,29000,Diesel,Manual,Second,17.0,100.0,MAHINDRA,NUVOSPORT N6
Mumbai,2016,20000,Diesel,Manual,First,24.0,88.0,MARUTI,VITARA BREZZA ZDI PLUS DUAL TONE
Kochi,2016,61012,Petrol,Manual,First,18.0,81.0,HYUNDAI,I20 ASTA OPTION 1.2
Jaipur,2009,87459,Petrol,Manual,First,14.0,85.0,SKODA,FABIA 1.4 MPI AMBIENTE
Pune,2010,70500,Petrol,Manual,First,15.0,64.0,TATA,INDIGO ECS GLX
Delhi,2015,64103,Diesel,Automatic,First,15.0,174.0,AUDI,Q3 2012-2015 35 TDI QUATTRO PREMIUM PLUS
Mumbai,2014,76000,Petrol,Automatic,First,14.0,177.0,SKODA,OCTAVIA ELEGANCE 1.8 TSI AT
Delhi,2014,104000,Diesel,Manual,First,23.0,67.0,TOYOTA,ETIOS LIVA GD SP
Kolkata,2010,42001,Petrol,Manual,First,16.0,97.0,MARUTI,SWIFT 1.3 VXI
Kochi,2014,37245,Petrol,Automatic,First,14.0,120.0,MERCEDES-BENZ,B CLASS B180
Kolkata,2013,45000,Diesel,Manual,First,27.0,98.0,HONDA,AMAZE S DIESEL
Jaipur,2012,117837,Diesel,Manual,Second,22.0,126.0,HYUNDAI,VERNA 1.6 SX
Mumbai,2014,30000,Diesel,Manual,First,20.0,83.0,RENAULT,DUSTER 85PS DIESEL RXL OPTIONAL
Delhi,2015,27057,Petrol,Manual,Second,15.0,121.0,HYUNDAI,CRETA 1.6 VTVT S
Mumbai,2016,8500,Petrol,Automatic,First,20.0,67.0,MARUTI,WAGON R AMT VXI
Kolkata,2010,30500,Petrol,Automatic,First,11.0,186.0,MERCEDES-BENZ,NEW C-CLASS C250 AVANTGARDE
Delhi,2012,56000,Diesel,Automatic,First,11.0,246.0,AUDI,A8 L 3.0 TDI QUATTRO
Pune,2012,44000,Petrol,Manual,Second,19.0,68.0,HYUNDAI,I10 MAGNA 1.1
Mumbai,2017,10500,Petrol,Automatic,First,14.0,103.0,SKODA,RAPID 1.6 MPI AT STYLE BLACK PACKAGE
Hyderabad,2017,26000,Petrol,Automatic,First,14.0,177.0,SKODA,SUPERB STYLE 1.8 TSI AT
Coimbatore,2018,25166,Petrol,Manual,First,17.0,81.0,HYUNDAI,I20 ACTIVE 1.2 SX
Kolkata,2014,64000,Diesel,Manual,Second,25.0,98.0,HONDA,AMAZE VX I-DTEC
Chennai,2004,61000,Petrol,Manual,Second,18.0,67.0,MARUTI,WAGON R LXI
Hyderabad,2013,107000,Diesel,Manual,First,21.0,65.0,MAHINDRA,VERITO 1.5 D4 BSIV
Coimbatore,2018,29161,Diesel,Automatic,First,19.0,167.0,MERCEDES-BENZ,NEW C-CLASS C 220D AVANTGARDE EDITION C
Kolkata,2013,32000,Petrol,Manual,First,22.0,67.0,MARUTI,WAGON R VXI
Coimbatore,2015,46173,Diesel,Manual,Second,19.0,108.0,NISSAN,TERRANO XV PREMIUM 110 PS ANNIVERSARY EDITION
Delhi,2013,47000,Diesel,Manual,First,17.0,97.0,MARUTI,SWIFT VDI BSIV
Kochi,2017,26327,Petrol,Automatic,First,16.0,189.0,MINI,COOPER CONVERTIBLE S
Bangalore,2015,70436,Diesel,Manual,First,0.0,99.0,FORD,FIGO DIESEL
Jaipur,2007,200000,Diesel,Manual,Second,17.0,53.0,TATA,INDICA V2 DLS BSII
Kochi,2016,60813,Petrol,Manual,Second,18.0,76.0,CHEVROLET,BEAT LT
Mumbai,2012,45000,Diesel,Manual,First,22.0,73.0,VOLKSWAGEN,POLO DIESEL COMFORTLINE 1.2L
Hyderabad,2016,64000,Diesel,Manual,First,22.0,74.0,MARUTI,SWIFT ZDI
Kolkata,2012,41284,Diesel,Manual,First,20.0,68.0,FORD,FIGO DIESEL EXI
Kochi,2019,14165,Diesel,Automatic,First,11.0,171.0,TOYOTA,INNOVA CRYSTA 2.8 GX AT
Mumbai,2011,67000,Diesel,Automatic,Second,11.0,194.0,HYUNDAI,SANTA FE 4X4 AT
Kolkata,2011,32572,Petrol,Manual,First,17.0,117.0,HONDA,CITY I-VTEC V
Kochi,2018,14960,Petrol,Manual,First,18.0,81.0,HYUNDAI,I20 1.2 MAGNA EXECUTIVE
Kochi,2015,55980,Diesel,Automatic,First,19.0,167.0,MERCEDES-BENZ,NEW C-CLASS C 220D AVANTGARDE EDITION C
Mumbai,2013,74000,Diesel,Manual,First,25.0,57.0,CHEVROLET,BEAT DIESEL LT
Kochi,2015,56847,Diesel,Manual,First,22.0,88.0,HYUNDAI,I20 SPORTZ 1.4 CRDI
Coimbatore,2015,121374,Diesel,Manual,First,12.0,100.0,TOYOTA,INNOVA 2.5 Z DIESEL 7 SEATER
Chennai,2013,52000,Diesel,Manual,First,20.0,88.0,MARUTI,ERTIGA VDI
Mumbai,2014,118000,Diesel,Manual,First,12.0,102.0,TOYOTA,INNOVA 2.5 V DIESEL 7-SEATER
Mumbai,2007,72000,Petrol,Manual,Third,17.0,97.0,HYUNDAI,SANTRO XING XO ERLX EURO II
Kochi,2016,33915,Petrol,Manual,First,17.0,117.0,HONDA,CITY I VTEC V
Ahmedabad,2014,82002,Diesel,Automatic,First,17.0,184.0,BMW,X1 SDRIVE20D
Mumbai,2017,33000,Diesel,Manual,First,24.0,70.0,HYUNDAI,GRAND I10 CRDI ERA
Chennai,2016,34000,Diesel,Manual,First,28.0,88.0,MARUTI,CIAZ 1.3 ALPHA
Kolkata,2012,55000,Diesel,Manual,First,20.0,103.0,SKODA,RAPID LEISURE 1.6 TDI MT
Kochi,2006,160538,Diesel,Manual,First,13.0,82.0,HYUNDAI,ACCENT CRDI
Jaipur,2014,60000,Diesel,Manual,Second,19.0,103.0,VOLKSWAGEN,POLO GT 1.5 TDI
Coimbatore,2017,49575,Petrol,Manual,First,18.0,88.0,HONDA,JAZZ 1.2 VX I VTEC
Jaipur,2010,83000,Petrol,Manual,First,19.0,68.0,HYUNDAI,I10 ERA
