,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Price,brand,model
22,2015,55985,Petrol,Automatic,First,13.53,1984,177.01,5.0,23.5,AUDI,A6 2011-2015 35 TFSI TECHNOLOGY
23,2010,45807,Petrol,Manual,First,18.5,1197,80,5.0,1.87,HYUNDAI,I20 1.2 MAGNA
24,2010,33000,Petrol,Automatic,First,14.4,1598,103.6,5.0,2.85,VOLKSWAGEN,VENTO PETROL HIGHLINE AT
25,2012,51920,Petrol,Manual,First,16.8,1497,116.3,5.0,4.25,HONDA,CITY CORPORATE EDITION
26,2012,54000,Diesel,Manual,First,23.08,1461,63.1,5.0,4.25,NISSAN,MICRA DIESEL XV
27,2013,54000,Petrol,Manual,Second,20.92,998,67.1,5.0,2.75,MARUTI,ALTO K10 2010-2014 VXI
28,2018,37430,Petrol,Manual,First,17.5,1199,88.7,5.0,9.9,HONDA,WRV I-VTEC VX
29,2007,262000,Diesel,Manual,Fourth & Above,12.8,2494,102,7.0,4.0,TOYOTA,INNOVA 2.5 V DIESEL 7-SEATER
30,2013,62000,Diesel,Manual,First,19.01,1461,108.45,5.0,7.75,RENAULT,DUSTER 110PS DIESEL RXZ PACK
31,2012,87615,Petrol,Manual,First,14.53,1798,138.1,5.0,6.75,TOYOTA,COROLLA ALTIS G
32,2013,72000,Diesel,Automatic,Second,11.18,2696,184,7.0,12.5,MAHINDRA,SSANGYONG REXTON RX7
33,2010,35000,Diesel,Automatic,First,12.4,2698,179.5,5.0,11.5,AUDI,A6 2.7 TDI
34,2014,55431,Petrol,Manual,Second,16.09,1598,103.5,5.0,6.98,VOLKSWAGEN,VENTO 1.6 HIGHLINE
35,2009,83816,Petrol,Manual,Second,14.0,1061,64,5.0,1.85,MARUTI,WAGON R LXI BSIII
36,2018,50075,Diesel,Manual,First,24.3,1248,88.5,5.0,8.63,MARUTI,VITARA BREZZA ZDI PLUS
37,2017,52000,Petrol,Manual,First,18.15,1198,82,5.0,4.85,MAHINDRA,KUV 100 MFALCON G80 K6 5STR AW
38,2013,85000,Diesel,Automatic,First,11.74,2987,254.8,5.0,28.0,MERCEDES-BENZ,M-CLASS ML 350 CDI
39,2013,62000,Diesel,Manual,First,22.07,1199,73.9,5.0,5.0,VOLKSWAGEN,POLO DIESEL TRENDLINE 1.2L
40,2008,90000,Petrol,Manual,Second,19.7,796,46.3,5.0,1.25,MARUTI,ALTO LXI
41,2014,19698,Petrol,Manual,First,25.4,624,37.5,4.0,1.53,TATA,NANO LX SE
42,2017,22033,Diesel,Manual,First,25.32,1198,77,6.0,5.58,MAHINDRA,KUV 100 MFALCON D75 K8 DUAL TONE
43,2014,35487,Petrol,Manual,First,18.5,1197,82.9,5.0,4.74,HYUNDAI,I20 MAGNA OPTIONAL 1.2
44,2014,46374,Petrol,Automatic,First,14.62,1999,149.92,5.0,8.85,HYUNDAI,ELANTRA 2.0 SX OPTION AT
45,2016,52001,Petrol,Automatic,First,14.28,1798,138.03,5.0,10.11,TOYOTA,COROLLA ALTIS G AT
46,2008,58005,Diesel,Manual,Second,14.9,1991,112.2,5.0,4.25,HYUNDAI,ELANTRA CRDI
47,2012,70704,Petrol,Manual,First,11.25,2694,163.7,7.0,10.95,TOYOTA,INNOVA CRYSTA 2.7 GX MT
48,2014,75000,Diesel,Manual,First,24.4,1120,71,5.0,3.85,HYUNDAI,XCENT 1.1 CRDI S
49,2012,75800,Diesel,Manual,Second,16.55,2498,105,6.0,5.5,MAHINDRA,THAR CRDE AC
50,2015,13648,Diesel,Automatic,First,17.11,1968,174.33,5.0,21.43,AUDI,A4 2.0 TDI 177 BHP PREMIUM PLUS
51,2014,52000,Diesel,Manual,First,22.9,1248,74,5.0,4.25,MARUTI,SWIFT LDI
52,2014,53000,Diesel,Manual,First,17.8,1248,75,5.0,3.3,MARUTI,SWIFT LDI BSIV
53,2013,65650,Diesel,Manual,First,28.4,1248,74,5.0,3.85,MARUTI,SWIFT VDI
54,2015,54000,Petrol,Manual,Third,18.9,1197,82,5.0,3.6,HYUNDAI,GRAND I10 SPORTZ
55,2015,39000,Petrol,Manual,First,15.04,1598,103.2,5.0,3.99,VOLKSWAGEN,VENTO 2013-2015 1.6 COMFORTLINE
56,2017,16542,Petrol,Manual,First,25.17,799,53.3,5.0,3.3,RENAULT,KWID RXT
57,2010,32000,Petrol,Manual,First,20.36,1197,78.9,5.0,2.07,HYUNDAI,I10 ASTA
58,2010,121812,Diesel,Automatic,First,13.29,1995,147.6,5.0,7.75,NISSAN,X-TRAIL SLX AT
59,2010,39300,Petrol,Manual,First,18.2,998,67.1,5.0,2.25,MARUTI,ZEN ESTILO VXI BSIII
60,2017,22000,Diesel,Manual,First,13.68,2393,147.8,8.0,16.5,TOYOTA,INNOVA CRYSTA 2.4 GX MT 8S
61,2010,72000,Diesel,Manual,First,20.0,1399,68,5.0,2.75,FORD,FIGO DIESEL TITANIUM
62,2015,58000,Petrol,Automatic,First,11.74,1796,186,5.0,26.7,MERCEDES-BENZ,NEW C-CLASS C 200 CGI AVANTGARDE
63,2011,65000,Diesel,Manual,Second,15.8,2148,170,5.0,10.0,MERCEDES-BENZ,NEW C-CLASS 200 CDI CLASSIC
64,2016,178000,Diesel,Manual,First,25.0,1396,69,5.0,2.5,TATA,INDICA V2 ELS
65,2012,65664,Diesel,Automatic,First,16.55,1968,140,5.0,13.5,AUDI,A4 2.0 TDI MULTITRONIC
66,2007,63000,Petrol,Automatic,Second,16.4,1497,78,5.0,1.85,HONDA,CITY ZX CVT
67,2019,15369,Diesel,Automatic,First,0.0,1950,194,5.0,35.67,MERCEDES-BENZ,C-CLASS PROGRESSIVE C 220D
68,2016,63000,Diesel,Manual,First,24.52,1248,88.5,7.0,8.15,MARUTI,ERTIGA SHVS VDI
69,2018,13000,Diesel,Manual,First,22.1,1396,88.7,5.0,10.5,HYUNDAI,CRETA 1.4 E PLUS DIESEL
70,2008,73000,Petrol,Automatic,First,8.5,4806,500,5.0,14.5,PORSCHE,CAYENNE 2009-2014 TURBO
71,2015,55729,Diesel,Manual,First,15.1,2179,140,7.0,9.65,MAHINDRA,XUV500 W8 4WD
72,2012,45178,Petrol,Automatic,First,16.95,1197,78.9,5.0,3.48,HYUNDAI,I10 SPORTZ 1.2 AT
73,2015,56066,Diesel,Manual,First,19.64,1461,108.5,5.0,6.92,NISSAN,TERRANO XV D PRE
74,2016,37300,Petrol,Automatic,Second,16.5,1198,86.8,5.0,6.46,HONDA,BRIO VX AT
75,2014,56000,Diesel,Automatic,Second,18.53,1968,187.74,5.0,29.5,AUDI,A6 2.0 TDI DESIGN EDITION
76,2008,111111,Diesel,Manual,First,17.8,1399,,5.0,2.0,FORD,FIESTA 1.4 SXI TDCI
77,2006,230000,Petrol,Manual,Third,12.4,1998,132,8.0,4.5,TOYOTA,INNOVA 2.0 G1
78,2012,104000,Diesel,Manual,First,12.8,2494,102,7.0,11.75,TOYOTA,INNOVA 2.5 VX 7 STR BSIV
79,2005,87591,Petrol,Manual,First,0.0,1086,,5.0,1.3,HYUNDAI,SANTRO XING XL
80,2012,95100,Diesel,Manual,First,22.9,1248,74,5.0,3.75,MARUTI,SWIFT VDI
81,2017,70000,Petrol,Manual,First,17.57,1193,88.7,5.0,4.5,TATA,ZEST REVOTRON 1.2T XE
82,2016,54944,Petrol,Manual,First,18.0,1198,86.7,5.0,4.82,HONDA,AMAZE SX I-VTEC
83,2012,70337,Diesel,Manual,First,20.0,1399,68,5.0,2.8,FORD,FIGO DIESEL ZXI
84,2013,99638,Diesel,Manual,First,23.2,1248,73.94,5.0,3.11,MARUTI,RITZ VDI
85,2009,52000,Petrol,Manual,First,17.8,1497,117.3,5.0,3.25,HONDA,CITY I VTEC E
86,2011,75000,Diesel,Automatic,Second,16.73,1995,218,5.0,13.9,BMW,5 SERIES 2003-2012 525D
87,2009,95980,Petrol,Manual,First,20.36,1197,78.9,5.0,2.25,HYUNDAI,I10 SPORTZ 1.2
88,2016,16000,Petrol,Manual,First,18.9,1197,82,5.0,5.75,HYUNDAI,GRAND I10 SPORTZ
89,2007,73745,Petrol,Manual,First,17.0,1086,,5.0,2.1,HYUNDAI,SANTRO XING XO
90,2016,18949,Petrol,Manual,First,17.8,1198,86.7,5.0,5.0,HONDA,AMAZE SX I-VTEC
91,2014,107000,Diesel,Manual,First,13.0,2982,168.5,7.0,16.5,TOYOTA,FORTUNER 4X2 MANUAL
92,2018,48367,Diesel,Automatic,First,17.68,1968,174.33,5.0,39.58,AUDI,A6 2011-2015 35 TDI PREMIUM
93,2013,57000,Diesel,Manual,First,22.7,1498,89.84,5.0,5.5,FORD,ECOSPORT 1.5 DV5 MT TITANIUM OPTIONAL
94,2014,58000,Diesel,Manual,First,15.1,2179,140,7.0,8.1,MAHINDRA,XUV500 W8 2WD
95,2015,30000,Diesel,Manual,First,25.8,1498,98.6,5.0,3.5,HONDA,AMAZE SX I-DTEC
96,2013,34212,Diesel,Manual,First,22.07,1199,73.9,5.0,2.79,VOLKSWAGEN,POLO DIESEL HIGHLINE 1.2L
97,2010,70002,Diesel,Manual,First,16.2,1493,110,5.0,3.45,HYUNDAI,VERNA TRANSFORM SX VGT CRDI
98,2016,62000,Petrol,Manual,First,18.9,998,67.1,5.0,4.45,MARUTI,WAGON R VXI BS IV
99,2010,62001,Petrol,Manual,First,15.26,1598,103.5,5.0,2.65,VOLKSWAGEN,POLO PETROL HIGHLINE 1.6L
100,2011,78958,Diesel,Manual,Second,23.0,1396,90,5.0,3.8,HYUNDAI,I20 1.4 CRDI SPORTZ
101,2014,30180,Petrol,Manual,First,18.5,1197,82.85,5.0,4.65,HYUNDAI,I20 ASTA 1.2
102,2017,32851,Petrol,Manual,First,19.83,1198,67,7.0,3.95,DATSUN,GO PLUS T PETROL
103,2010,30000,Diesel,Automatic,First,14.94,2967,241.4,5.0,9.8,AUDI,A4 3.0 TDI QUATTRO PREMIUM
104,2009,66000,Petrol,Manual,Second,17.0,1197,80,5.0,2.7,HYUNDAI,I20 2015-2017 ASTA
105,2010,93850,Petrol,Manual,First,14.0,796,35,5.0,2.41,MARUTI,OMNI 5 STR STD
106,2014,53000,Petrol,Manual,First,17.71,1197,78.9,5.0,3.9,TOYOTA,ETIOS LIVA 1.2 G
107,2011,78000,Diesel,Automatic,Second,14.74,2993,270.9,5.0,24.0,JAGUAR,XF 3.0 LITRE S PREMIUM LUXURY
108,2012,65000,Diesel,Manual,Second,16.0,2179,140,7.0,5.75,MAHINDRA,XUV500 W8 2WD
109,2014,40000,Diesel,Automatic,First,22.32,1582,126.32,5.0,5.25,HYUNDAI,VERNA 1.6 SX CRDI (O) AT
110,2017,30000,Diesel,Automatic,First,11.36,2755,171.5,7.0,19.25,TOYOTA,INNOVA CRYSTA 2.8 ZX AT
111,2017,38053,Petrol,Manual,First,15.1,1196,73,5.0,3.91,MARUTI,EECO 5 SEATER AC
112,2014,25500,Petrol,Manual,First,25.4,624,37.5,4.0,2.15,TATA,NANO TWIST XT
113,2015,56087,Diesel,Automatic,First,22.69,1995,190,5.0,20.75,BMW,3 SERIES 320D LUXURY LINE
114,2010,71088,Petrol,Manual,First,13.5,1799,130,5.0,3.35,HONDA,CIVIC 2006-2010 1.8 V MT
115,2014,55000,Diesel,Manual,First,12.99,2494,100.6,7.0,11.11,TOYOTA,INNOVA 2.5 VX (DIESEL) 7 SEATER
116,2014,32700,Diesel,Automatic,First,23.3,1984,150,5.0,20.0,VOLVO,V40 CROSS COUNTRY D3
117,2016,39882,Petrol,Automatic,First,19.15,1198,75.94,5.0,6.55,NISSAN,MICRA XV CVT
118,2009,128000,Petrol,Automatic,First,10.8,2497,215,5.0,7.0,BMW,5 SERIES 2010-2013 525I
119,2016,55000,Diesel,Manual,First,24.3,1248,88.5,5.0,7.5,MARUTI,VITARA BREZZA VDI
120,2005,102000,Petrol,Manual,Second,17.0,1086,,5.0,0.85,HYUNDAI,SANTRO XING XL ERLX EURO III
121,2014,53753,Diesel,Automatic,Second,15.0,2143,107.3,5.0,16.75,MERCEDES-BENZ,B CLASS B200 CDI
122,2018,10250,Diesel,Manual,First,22.0,1582,126.2,5.0,10.95,HYUNDAI,VERNA CRDI 1.6 SX OPTION
123,2011,43874,Petrol,Manual,First,18.9,998,67.1,5.0,2.45,MARUTI,WAGON R LXI BS IV
124,2017,32684,Petrol,Automatic,First,21.9,624,37.48,4.0,3.23,TATA,NANO XTA
125,2014,42000,Diesel,Manual,First,12.05,2179,120,8.0,7.75,MAHINDRA,SCORPIO VLX
126,2009,28352,Petrol,Automatic,First,11.7,1796,178,5.0,9.35,MERCEDES-BENZ,NEW C-CLASS 200 K AT
127,2013,89900,CNG,Manual,First,26.6,998,58.16,5.0,3.25,MARUTI,WAGON R LXI CNG
128,2007,47700,Petrol,Manual,Second,10.8,2354,152,5.0,5.25,HONDA,CR-V 2.4 MT
129,2015,55000,Diesel,Automatic,First,21.21,1498,103.2,5.0,7.25,VOLKSWAGEN,VENTO 1.5 TDI COMFORTLINE AT
130,2017,44285,Petrol,Manual,First,20.73,1373,91.1,5.0,7.47,MARUTI,CIAZ VXI PLUS
131,2016,54000,Diesel,Automatic,First,16.0,2179,140,7.0,13.25,MAHINDRA,XUV500 AT W10 FWD
132,2016,30232,Petrol,Manual,First,21.1,1197,85.80,5.0,5.81,MARUTI,RITZ VXI ABS
133,2014,88500,Petrol,Manual,First,24.07,998,67.1,5.0,2.6,MARUTI,ALTO K10 VXI
134,2017,13372,Petrol,Automatic,First,19.0,2996,362.07,2.0,54.0,MERCEDES-BENZ,SLC 43 AMG
135,2019,12645,Petrol,Automatic,First,17.0,1591,121.3,5.0,11.5,HYUNDAI,VERNA VTVT 1.6 AT SX PLUS
136,2010,94385,Petrol,Manual,Second,19.7,796,46.3,5.0,1.6,MARUTI,ALTO LXI BSIII
137,2015,31821,Diesel,Automatic,First,20.58,1995,143,5.0,17.22,BMW,1 SERIES 118D BASE
138,2015,12000,Petrol,Automatic,First,19.0,1199,88.7,5.0,6.0,HONDA,JAZZ 1.2 V CVT I VTEC
139,2012,88578,Petrol,Manual,First,13.5,1799,130,5.0,3.95,HONDA,CIVIC 2006-2010 1.8 V MT
140,2014,44965,Diesel,Automatic,First,19.27,2143,170,5.0,17.95,MERCEDES-BENZ,NEW C-CLASS C 220 CDI AVANTGARDE
141,2014,45044,Diesel,Manual,First,25.8,1498,98.6,5.0,3.7,HONDA,AMAZE SX I-DTEC
142,2016,34204,Petrol,Manual,First,22.0,1197,81.80,5.0,5.43,MARUTI,SWIFT VVT VXI
143,2008,80759,Petrol,Manual,Third,17.0,1086,,5.0,1.67,HYUNDAI,SANTRO XING XO ERLX EURO II
144,2012,91235,Diesel,Manual,First,11.5,2982,171,7.0,13.49,TOYOTA,FORTUNER 3.0 DIESEL
145,2014,38800,Petrol,Manual,First,18.6,1199,76.8,5.0,2.85,CHEVROLET,BEAT LT OPTION
146,2013,83000,Diesel,Manual,First,21.14,1498,103.52,5.0,4.75,SKODA,RAPID 1.5 TDI ELEGANCE
147,2018,41283,Petrol,Manual,First,20.73,1373,91.1,5.0,9.9,MARUTI,CIAZ 1.4 ALPHA
148,2013,23000,Petrol,Automatic,First,11.05,2894,444,4.0,37.0,AUDI,RS5 COUPE
149,2014,48000,Diesel,Automatic,First,21.76,1995,190,5.0,26.5,BMW,3 SERIES LUXURY LINE
150,2015,48214,Diesel,Automatic,First,17.11,1968,174.33,5.0,23.32,AUDI,A4 2.0 TDI 177 BHP PREMIUM PLUS
151,2016,35000,Diesel,Manual,First,22.9,1248,74,5.0,6.25,MARUTI,SWIFT VDI
152,2010,35277,Petrol,Automatic,First,7.81,5461,362.9,5.0,30.0,MERCEDES-BENZ,S CLASS 2005 2013 S 500
153,2016,54620,Diesel,Automatic,First,21.66,1498,103.52,5.0,9.86,SKODA,RAPID 1.5 TDI AT ELEGANCE PLUS BLACK PACKAGE
154,2012,136997,Diesel,Automatic,First,17.2,1968,138.1,5.0,8.5,SKODA,SUPERB ELEGANCE 2.0 TDI CR AT
155,2019,14322,Petrol,Manual,First,21.1,814,55.2,5.0,4.23,HYUNDAI,EON MAGNA PLUS
156,2012,65634,Diesel,Manual,First,22.07,1199,73.9,5.0,3.5,VOLKSWAGEN,POLO DIESEL TRENDLINE 1.2L
157,2016,6000,Petrol,Manual,First,20.63,1198,67.06,5.0,2.5,DATSUN,GO NXT
158,2013,33280,Petrol,Manual,First,19.4,1198,86.8,5.0,2.39,HONDA,BRIO S MT
159,2013,29000,Petrol,Automatic,First,14.8,1595,120.7,5.0,11.25,MERCEDES-BENZ,B CLASS B180
160,2015,42831,Diesel,Manual,First,26.0,1498,98.6,5.0,7.11,HONDA,CITY I DTEC V
161,2016,90000,Diesel,Manual,First,12.99,2494,100.6,7.0,10.9,TOYOTA,INNOVA 2.5 G (DIESEL) 7 SEATER
162,2017,24005,Petrol,Manual,First,20.4,1197,81.80,5.0,6.2,MARUTI,SWIFT VXI OPTIONAL
163,2012,32792,Diesel,Manual,First,15.1,2179,140,7.0,7.9,MAHINDRA,XUV500 W8 2WD
164,2014,147898,Diesel,Manual,First,22.7,1498,89.84,5.0,4.42,FORD,ECOSPORT 1.5 DV5 MT AMBIENTE
165,2012,131765,Diesel,Manual,First,13.0,2982,168.5,7.0,13.5,TOYOTA,FORTUNER 4X2 MANUAL
166,2013,65000,Diesel,Automatic,First,21.5,1498,108.5,5.0,6.25,VOLKSWAGEN,VENTO 1.5 HIGHLINE PLUS AT 16 ALLOY
167,2010,66123,Diesel,Manual,Second,20.0,1399,68,5.0,2.1,FORD,FIGO DIESEL TITANIUM
168,2015,41000,Diesel,Automatic,First,15.3,2993,258,5.0,45.0,BMW,X5 XDRIVE 30D
169,2017,23550,Diesel,Automatic,First,19.27,2143,167.62,5.0,33.66,MERCEDES-BENZ,NEW C-CLASS C 220 CDI STYLE
170,2012,45000,Petrol,Manual,Second,19.4,1198,86.8,5.0,3.65,HONDA,BRIO V MT
171,2013,60000,Petrol,Manual,First,20.36,1197,78.9,5.0,2.75,HYUNDAI,I10 MAGNA 1.2
172,2016,44414,Diesel,Automatic,First,17.9,2143,170,5.0,42.5,MERCEDES-BENZ,GLC 220
173,2019,1000,Petrol,Manual,First,18.9,1197,81.86,5.0,6.5,HYUNDAI,GRAND I10 1.2 KAPPA ASTA
174,2012,62500,Diesel,Automatic,Second,17.68,1968,174.33,5.0,19.0,AUDI,A6 2011-2015 2.0 TDI PREMIUM PLUS
175,2013,21000,Petrol,Automatic,Second,14.4,1598,103.6,5.0,4.45,VOLKSWAGEN,VENTO PETROL HIGHLINE AT
176,2017,8525,Diesel,Automatic,Second,16.6,1998,112,5.0,23.0,MINI,COUNTRYMAN COOPER D
177,2014,29000,Diesel,Manual,First,22.54,1396,88.73,5.0,8.35,HYUNDAI,I20 ASTA 1.4 CRDI
178,2014,40000,Diesel,Automatic,First,17.68,1968,174.33,5.0,22.95,AUDI,A6 2011-2015 2.0 TDI PREMIUM PLUS
179,2012,88000,Diesel,Manual,First,25.44,936,57.6,5.0,1.5,CHEVROLET,BEAT DIESEL LT
180,2012,53537,Petrol,Automatic,First,13.7,1798,157.75,5.0,6.89,SKODA,SUPERB ELEGANCE 1.8 TSI AT
181,2006,216000,Diesel,Manual,Second,17.8,1399,68,5.0,1.45,FORD,FIESTA 1.4 TDCI EXI LIMITED EDITION
182,2014,51000,Diesel,Automatic,First,22.48,1995,190,5.0,33.5,BMW,5 SERIES 520D LUXURY LINE
183,2007,118500,Petrol,Manual,First,12.9,1598,102.5,5.0,1.25,CHEVROLET,OPTRA MAGNUM 1.6 LS BS3
184,2012,63000,Diesel,Manual,First,22.07,1199,73.9,5.0,4.2,VOLKSWAGEN,POLO DIESEL HIGHLINE 1.2L
185,2015,25000,Diesel,Manual,First,19.98,1461,108.5,8.0,6.75,RENAULT,LODGY 110PS RXZ 8 SEATER
186,2014,37382,Diesel,Automatic,First,13.0,2143,201.1,5.0,32.0,MERCEDES-BENZ,E-CLASS E250 CDI AVANTGRADE
187,2017,24773,Petrol,Manual,First,21.4,1197,83.1,5.0,7.5,MARUTI,BALENO ALPHA
188,2012,62000,Diesel,Manual,First,22.32,1582,126.32,5.0,4.6,HYUNDAI,VERNA 1.6 SX
189,2017,52340,Petrol,Manual,First,19.81,1086,68.05,5.0,4.04,HYUNDAI,I10 MAGNA 1.1
190,2016,56739,Diesel,Manual,First,15.4,1997,120,7.0,10.31,MAHINDRA,SCORPIO 1.99 S10 4WD
191,2018,36091,Diesel,Automatic,First,12.7,2179,187.7,5.0,55.76,LAND,ROVER RANGE ROVER 2.2L DYNAMIC
192,2010,120000,Diesel,Manual,First,20.0,1399,68,5.0,2.6,FORD,FIGO DIESEL ZXI
193,2016,33000,Diesel,Manual,First,25.47,1248,88.50,7.0,8.5,MARUTI,ERTIGA ZDI
194,2007,60006,Petrol,Manual,First,0.0,,,,2.95,HONDA,CITY 1.5 GXI
195,2014,52000,Diesel,Manual,First,25.8,1498,98.6,5.0,3.5,HONDA,AMAZE S I-DTECH
196,2015,43571,Petrol,Manual,First,20.36,1197,78.9,5.0,3.55,HYUNDAI,I10 MAGNA
197,2013,50000,Diesel,Manual,First,25.8,1498,98.6,5.0,3.25,HONDA,AMAZE S I-DTECH
198,2008,113000,Diesel,Manual,First,17.5,1896,106,5.0,4.5,SKODA,LAURA AMBIENTE
199,2014,90000,Diesel,Manual,First,19.87,1461,83.8,5.0,5.35,RENAULT,DUSTER 85PS DIESEL RXL
200,2017,29000,Diesel,Manual,Second,17.45,1493,100,7.0,6.5,MAHINDRA,NUVOSPORT N6
201,2016,20000,Diesel,Manual,First,24.3,1248,88.5,5.0,9.0,MARUTI,VITARA BREZZA ZDI PLUS DUAL TONE
202,2016,61012,Petrol,Manual,First,18.6,1197,81.83,5.0,6.0,HYUNDAI,I20 ASTA OPTION 1.2
203,2009,87459,Petrol,Manual,First,14.7,1390,85,5.0,2.75,SKODA,FABIA 1.4 MPI AMBIENTE
204,2010,70500,Petrol,Manual,First,15.64,1193,64.1,5.0,1.5,TATA,INDIGO ECS GLX
205,2015,64103,Diesel,Automatic,First,15.73,1968,174.33,5.0,19.9,AUDI,Q3 2012-2015 35 TDI QUATTRO PREMIUM PLUS
206,2014,76000,Petrol,Automatic,First,14.7,1798,177.5,5.0,10.0,SKODA,OCTAVIA ELEGANCE 1.8 TSI AT
207,2014,104000,Diesel,Manual,First,23.59,1364,67.06,5.0,3.0,TOYOTA,ETIOS LIVA GD SP
208,2010,42001,Petrol,Manual,First,16.1,,,,2.11,MARUTI,SWIFT 1.3 VXI
209,2014,37245,Petrol,Automatic,First,14.8,1595,120.7,5.0,11.96,MERCEDES-BENZ,B CLASS B180
210,2013,45000,Diesel,Manual,First,27.4,1498,98.6,5.0,3.25,HONDA,AMAZE S DIESEL
211,2012,117837,Diesel,Manual,Second,22.32,1582,126.32,5.0,4.75,HYUNDAI,VERNA 1.6 SX
212,2014,30000,Diesel,Manual,First,20.46,1461,83.8,5.0,5.95,RENAULT,DUSTER 85PS DIESEL RXL OPTIONAL
213,2015,27057,Petrol,Manual,Second,15.29,1591,121.3,5.0,8.15,HYUNDAI,CRETA 1.6 VTVT S
214,2016,8500,Petrol,Automatic,First,20.51,998,67,5.0,4.22,MARUTI,WAGON R AMT VXI
215,2010,30500,Petrol,Automatic,First,11.74,1796,186,5.0,10.5,MERCEDES-BENZ,NEW C-CLASS C250 AVANTGARDE
216,2012,56000,Diesel,Automatic,First,11.8,2967,246.7,5.0,45.0,AUDI,A8 L 3.0 TDI QUATTRO
217,2012,44000,Petrol,Manual,Second,19.81,1086,68.05,5.0,2.9,HYUNDAI,I10 MAGNA 1.1
218,2017,10500,Petrol,Automatic,First,14.3,1598,103.52,5.0,8.9,SKODA,RAPID 1.6 MPI AT STYLE BLACK PACKAGE
219,2017,26000,Petrol,Automatic,First,14.67,1798,177.46,5.0,26.0,SKODA,SUPERB STYLE 1.8 TSI AT
220,2018,25166,Petrol,Manual,First,17.19,1197,81.86,5.0,8.22,HYUNDAI,I20 ACTIVE 1.2 SX
221,2014,64000,Diesel,Manual,Second,25.8,1498,98.6,5.0,3.5,HONDA,AMAZE VX I-DTEC
222,2004,61000,Petrol,Manual,Second,18.9,998,67.1,5.0,1.25,MARUTI,WAGON R LXI
223,2013,107000,Diesel,Manual,First,21.03,1461,65,5.0,3.7,MAHINDRA,VERITO 1.5 D4 BSIV
224,2018,29161,Diesel,Automatic,First,19.27,2143,167.62,5.0,39.41,MERCEDES-BENZ,NEW C-CLASS C 220D AVANTGARDE EDITION C
225,2013,32000,Petrol,Manual,First,22.5,998,67.04,5.0,2.65,MARUTI,WAGON R VXI
226,2015,46173,Diesel,Manual,Second,19.01,1461,108.5,5.0,8.92,NISSAN,TERRANO XV PREMIUM 110 PS ANNIVERSARY EDITION
227,2013,47000,Diesel,Manual,First,17.8,1248,,5.0,4.1,MARUTI,SWIFT VDI BSIV
