,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Power,Price,brand,model,Engine 
79,2005,87591,Petrol,Manual,First,0.0,0.0,1.3,HYUNDAI,SANTRO XING,1086.0
80,2012,95100,Diesel,Manual,First,22.9,22.9,3.75,MARUTI,SWIFT VDI,1248.0
81,2017,70000,Petrol,Manual,First,17.57,17.57,4.5,TATA,ZEST REVOTRON,1193.0
82,2016,54944,Petrol,Manual,First,18.0,18.0,4.82,HONDA,AMAZE SX,1198.0
83,2012,70337,Diesel,Manual,First,20.0,20.0,2.8,FORD,FIGO DIESEL,1399.0
84,2013,99638,Diesel,Manual,First,23.2,23.2,3.11,MARUTI,RITZ VDI,1248.0
85,2009,52000,Petrol,Manual,First,17.8,17.8,3.25,HONDA,CITY I,1497.0
86,2011,75000,Diesel,Automatic,Second,16.73,16.73,13.9,BMW,5 SERIES,1995.0
87,2009,95980,Petrol,Manual,First,20.36,20.36,2.25,HYUNDAI,I10 SPORTZ,1197.0
88,2016,16000,Petrol,Manual,First,18.9,18.9,5.75,HYUNDAI,GRAND I10,1197.0
89,2007,73745,Petrol,Manual,First,17.0,17.0,2.1,HYUNDAI,SANTRO XING,1086.0
90,2016,18949,Petrol,Manual,First,17.8,17.8,5.0,HONDA,AMAZE SX,1198.0
91,2014,107000,Diesel,Manual,First,13.0,13.0,16.5,TOYOTA,FORTUNER 4X2,2982.0
92,2018,48367,Diesel,Automatic,First,17.68,17.68,39.58,AUDI,A6 2011-2015,1968.0
93,2013,57000,Diesel,Manual,First,22.7,22.7,5.5,FORD,ECOSPORT 1.5,1498.0
94,2014,58000,Diesel,Manual,First,15.1,15.1,8.1,MAHINDRA,XUV500 W8,2179.0
95,2015,30000,Diesel,Manual,First,25.8,25.8,3.5,HONDA,AMAZE SX,1498.0
96,2013,34212,Diesel,Manual,First,22.07,22.07,2.79,VOLKSWAGEN,POLO DIESEL,1199.0
97,2010,70002,Diesel,Manual,First,16.2,16.2,3.45,HYUNDAI,VERNA TRANSFORM,1493.0
98,2016,62000,Petrol,Manual,First,18.9,18.9,4.45,MARUTI,WAGON R,998.0
99,2010,62001,Petrol,Manual,First,15.26,15.26,2.65,VOLKSWAGEN,POLO PETROL,1598.0
100,2011,78958,Diesel,Manual,Second,23.0,23.0,3.8,HYUNDAI,I20 1.4,1396.0
101,2014,30180,Petrol,Manual,First,18.5,18.5,4.65,HYUNDAI,I20 ASTA,1197.0
102,2017,32851,Petrol,Manual,First,19.83,19.83,3.95,DATSUN,GO PLUS,1198.0
103,2010,30000,Diesel,Automatic,First,14.94,14.94,9.8,AUDI,A4 3.0,2967.0
104,2009,66000,Petrol,Manual,Second,17.0,17.0,2.7,HYUNDAI,I20 2015-2017,1197.0
105,2010,93850,Petrol,Manual,First,14.0,14.0,2.41,MARUTI,OMNI 5,796.0
106,2014,53000,Petrol,Manual,First,17.71,17.71,3.9,TOYOTA,ETIOS LIVA,1197.0
107,2011,78000,Diesel,Automatic,Second,14.74,14.74,24.0,JAGUAR,XF 3.0,2993.0
108,2012,65000,Diesel,Manual,Second,16.0,16.0,5.75,MAHINDRA,XUV500 W8,2179.0
109,2014,40000,Diesel,Automatic,First,22.32,22.32,5.25,HYUNDAI,VERNA 1.6,1582.0
110,2017,30000,Diesel,Automatic,First,11.36,11.36,19.25,TOYOTA,INNOVA CRYSTA,2755.0
111,2017,38053,Petrol,Manual,First,15.1,15.1,3.91,MARUTI,EECO 5,1196.0
112,2014,25500,Petrol,Manual,First,25.4,25.4,2.15,TATA,NANO TWIST,624.0
113,2015,56087,Diesel,Automatic,First,22.69,22.69,20.75,BMW,3 SERIES,1995.0
114,2010,71088,Petrol,Manual,First,13.5,13.5,3.35,HONDA,CIVIC 2006-2010,1799.0
115,2014,55000,Diesel,Manual,First,12.99,12.99,11.11,TOYOTA,INNOVA 2.5,2494.0
116,2014,32700,Diesel,Automatic,First,23.3,23.3,20.0,VOLVO,V40 CROSS,1984.0
117,2016,39882,Petrol,Automatic,First,19.15,19.15,6.55,NISSAN,MICRA XV,1198.0
118,2009,128000,Petrol,Automatic,First,10.8,10.8,7.0,BMW,5 SERIES,2497.0
119,2016,55000,Diesel,Manual,First,24.3,24.3,7.5,MARUTI,VITARA BREZZA,1248.0
120,2005,102000,Petrol,Manual,Second,17.0,17.0,0.85,HYUNDAI,SANTRO XING,1086.0
121,2014,53753,Diesel,Automatic,Second,15.0,15.0,16.75,MERCEDES-BENZ,B CLASS,2143.0
122,2018,10250,Diesel,Manual,First,22.0,22.0,10.95,HYUNDAI,VERNA CRDI,1582.0
123,2011,43874,Petrol,Manual,First,18.9,18.9,2.45,MARUTI,WAGON R,998.0
124,2017,32684,Petrol,Automatic,First,21.9,21.9,3.23,TATA,NANO XTA,624.0
125,2014,42000,Diesel,Manual,First,12.05,12.05,7.75,MAHINDRA,SCORPIO VLX,2179.0
126,2009,28352,Petrol,Automatic,First,11.7,11.7,9.35,MERCEDES-BENZ,NEW C-CLASS,1796.0
127,2013,89900,CNG,Manual,First,26.6,26.6,3.25,MARUTI,WAGON R,998.0
128,2007,47700,Petrol,Manual,Second,10.8,10.8,5.25,HONDA,CR-V 2.4,2354.0
129,2015,55000,Diesel,Automatic,First,21.21,21.21,7.25,VOLKSWAGEN,VENTO 1.5,1498.0
130,2017,44285,Petrol,Manual,First,20.73,20.73,7.47,MARUTI,CIAZ VXI,1373.0
131,2016,54000,Diesel,Automatic,First,16.0,16.0,13.25,MAHINDRA,XUV500 AT,2179.0
132,2016,30232,Petrol,Manual,First,21.1,21.1,5.81,MARUTI,RITZ VXI,1197.0
133,2014,88500,Petrol,Manual,First,24.07,24.07,2.6,MARUTI,ALTO K10,998.0
134,2017,13372,Petrol,Automatic,First,19.0,19.0,54.0,MERCEDES-BENZ,SLC 43,2996.0
135,2019,12645,Petrol,Automatic,First,17.0,17.0,11.5,HYUNDAI,VERNA VTVT,1591.0
136,2010,94385,Petrol,Manual,Second,19.7,19.7,1.6,MARUTI,ALTO LXI,796.0
137,2015,31821,Diesel,Automatic,First,20.58,20.58,17.22,BMW,1 SERIES,1995.0
138,2015,12000,Petrol,Automatic,First,19.0,19.0,6.0,HONDA,JAZZ 1.2,1199.0
139,2012,88578,Petrol,Manual,First,13.5,13.5,3.95,HONDA,CIVIC 2006-2010,1799.0
140,2014,44965,Diesel,Automatic,First,19.27,19.27,17.95,MERCEDES-BENZ,NEW C-CLASS,2143.0
141,2014,45044,Diesel,Manual,First,25.8,25.8,3.7,HONDA,AMAZE SX,1498.0
142,2016,34204,Petrol,Manual,First,22.0,22.0,5.43,MARUTI,SWIFT VVT,1197.0
143,2008,80759,Petrol,Manual,Third,17.0,17.0,1.67,HYUNDAI,SANTRO XING,1086.0
144,2012,91235,Diesel,Manual,First,11.5,11.5,13.49,TOYOTA,FORTUNER 3.0,2982.0
145,2014,38800,Petrol,Manual,First,18.6,18.6,2.85,CHEVROLET,BEAT LT,1199.0
146,2013,83000,Diesel,Manual,First,21.14,21.14,4.75,SKODA,RAPID 1.5,1498.0
147,2018,41283,Petrol,Manual,First,20.73,20.73,9.9,MARUTI,CIAZ 1.4,1373.0
148,2013,23000,Petrol,Automatic,First,11.05,11.05,37.0,AUDI,RS5 COUPE,2894.0
149,2014,48000,Diesel,Automatic,First,21.76,21.76,26.5,BMW,3 SERIES,1995.0
150,2015,48214,Diesel,Automatic,First,17.11,17.11,23.32,AUDI,A4 2.0,1968.0
151,2016,35000,Diesel,Manual,First,22.9,22.9,6.25,MARUTI,SWIFT VDI,1248.0
152,2010,35277,Petrol,Automatic,First,7.81,7.81,30.0,MERCEDES-BENZ,S CLASS,5461.0
153,2016,54620,Diesel,Automatic,First,21.66,21.66,9.86,SKODA,RAPID 1.5,1498.0
154,2012,136997,Diesel,Automatic,First,17.2,17.2,8.5,SKODA,SUPERB ELEGANCE,1968.0
155,2019,14322,Petrol,Manual,First,21.1,21.1,4.23,HYUNDAI,EON MAGNA,814.0
156,2012,65634,Diesel,Manual,First,22.07,22.07,3.5,VOLKSWAGEN,POLO DIESEL,1199.0
157,2016,6000,Petrol,Manual,First,20.63,20.63,2.5,DATSUN,GO NXT,1198.0
158,2013,33280,Petrol,Manual,First,19.4,19.4,2.39,HONDA,BRIO S,1198.0
159,2013,29000,Petrol,Automatic,First,14.8,14.8,11.25,MERCEDES-BENZ,B CLASS,1595.0
160,2015,42831,Diesel,Manual,First,26.0,26.0,7.11,HONDA,CITY I,1498.0
161,2016,90000,Diesel,Manual,First,12.99,12.99,10.9,TOYOTA,INNOVA 2.5,2494.0
162,2017,24005,Petrol,Manual,First,20.4,20.4,6.2,MARUTI,SWIFT VXI,1197.0
163,2012,32792,Diesel,Manual,First,15.1,15.1,7.9,MAHINDRA,XUV500 W8,2179.0
164,2014,147898,Diesel,Manual,First,22.7,22.7,4.42,FORD,ECOSPORT 1.5,1498.0
165,2012,131765,Diesel,Manual,First,13.0,13.0,13.5,TOYOTA,FORTUNER 4X2,2982.0
166,2013,65000,Diesel,Automatic,First,21.5,21.5,6.25,VOLKSWAGEN,VENTO 1.5,1498.0
167,2010,66123,Diesel,Manual,Second,20.0,20.0,2.1,FORD,FIGO DIESEL,1399.0
168,2015,41000,Diesel,Automatic,First,15.3,15.3,45.0,BMW,X5 XDRIVE,2993.0
169,2017,23550,Diesel,Automatic,First,19.27,19.27,33.66,MERCEDES-BENZ,NEW C-CLASS,2143.0
170,2012,45000,Petrol,Manual,Second,19.4,19.4,3.65,HONDA,BRIO V,1198.0
171,2013,60000,Petrol,Manual,First,20.36,20.36,2.75,HYUNDAI,I10 MAGNA,1197.0
172,2016,44414,Diesel,Automatic,First,17.9,17.9,42.5,MERCEDES-BENZ,GLC 220,2143.0
173,2019,1000,Petrol,Manual,First,18.9,18.9,6.5,HYUNDAI,GRAND I10,1197.0
174,2012,62500,Diesel,Automatic,Second,17.68,17.68,19.0,AUDI,A6 2011-2015,1968.0
175,2013,21000,Petrol,Automatic,Second,14.4,14.4,4.45,VOLKSWAGEN,VENTO PETROL,1598.0
176,2017,8525,Diesel,Automatic,Second,16.6,16.6,23.0,MINI,COUNTRYMAN COOPER,1998.0
177,2014,29000,Diesel,Manual,First,22.54,22.54,8.35,HYUNDAI,I20 ASTA,1396.0
178,2014,40000,Diesel,Automatic,First,17.68,17.68,22.95,AUDI,A6 2011-2015,1968.0
179,2012,88000,Diesel,Manual,First,25.44,25.44,1.5,CHEVROLET,BEAT DIESEL,936.0
180,2012,53537,Petrol,Automatic,First,13.7,13.7,6.89,SKODA,SUPERB ELEGANCE,1798.0
181,2006,216000,Diesel,Manual,Second,17.8,17.8,1.45,FORD,FIESTA 1.4,1399.0
182,2014,51000,Diesel,Automatic,First,22.48,22.48,33.5,BMW,5 SERIES,1995.0
183,2007,118500,Petrol,Manual,First,12.9,12.9,1.25,CHEVROLET,OPTRA MAGNUM,1598.0
184,2012,63000,Diesel,Manual,First,22.07,22.07,4.2,VOLKSWAGEN,POLO DIESEL,1199.0
185,2015,25000,Diesel,Manual,First,19.98,19.98,6.75,RENAULT,LODGY 110PS,1461.0
186,2014,37382,Diesel,Automatic,First,13.0,13.0,32.0,MERCEDES-BENZ,E-CLASS E250,2143.0
187,2017,24773,Petrol,Manual,First,21.4,21.4,7.5,MARUTI,BALENO ALPHA,1197.0
188,2012,62000,Diesel,Manual,First,22.32,22.32,4.6,HYUNDAI,VERNA 1.6,1582.0
189,2017,52340,Petrol,Manual,First,19.81,19.81,4.04,HYUNDAI,I10 MAGNA,1086.0
190,2016,56739,Diesel,Manual,First,15.4,15.4,10.31,MAHINDRA,SCORPIO 1.99,1997.0
191,2018,36091,Diesel,Automatic,First,12.7,12.7,55.76,LAND,ROVER RANGE,2179.0
192,2010,120000,Diesel,Manual,First,20.0,20.0,2.6,FORD,FIGO DIESEL,1399.0
193,2016,33000,Diesel,Manual,First,25.47,25.47,8.5,MARUTI,ERTIGA ZDI,1248.0
195,2014,52000,Diesel,Manual,First,25.8,25.8,3.5,HONDA,AMAZE S,1498.0
196,2015,43571,Petrol,Manual,First,20.36,20.36,3.55,HYUNDAI,I10 MAGNA,1197.0
197,2013,50000,Diesel,Manual,First,25.8,25.8,3.25,HONDA,AMAZE S,1498.0
198,2008,113000,Diesel,Manual,First,17.5,17.5,4.5,SKODA,LAURA AMBIENTE,1896.0
199,2014,90000,Diesel,Manual,First,19.87,19.87,5.35,RENAULT,DUSTER 85PS,1461.0
200,2017,29000,Diesel,Manual,Second,17.45,17.45,6.5,MAHINDRA,NUVOSPORT N6,1493.0
201,2016,20000,Diesel,Manual,First,24.3,24.3,9.0,MARUTI,VITARA BREZZA,1248.0
202,2016,61012,Petrol,Manual,First,18.6,18.6,6.0,HYUNDAI,I20 ASTA,1197.0
203,2009,87459,Petrol,Manual,First,14.7,14.7,2.75,SKODA,FABIA 1.4,1390.0
204,2010,70500,Petrol,Manual,First,15.64,15.64,1.5,TATA,INDIGO ECS,1193.0
205,2015,64103,Diesel,Automatic,First,15.73,15.73,19.9,AUDI,Q3 2012-2015,1968.0
206,2014,76000,Petrol,Automatic,First,14.7,14.7,10.0,SKODA,OCTAVIA ELEGANCE,1798.0
207,2014,104000,Diesel,Manual,First,23.59,23.59,3.0,TOYOTA,ETIOS LIVA,1364.0
209,2014,37245,Petrol,Automatic,First,14.8,14.8,11.96,MERCEDES-BENZ,B CLASS,1595.0
210,2013,45000,Diesel,Manual,First,27.4,27.4,3.25,HONDA,AMAZE S,1498.0
211,2012,117837,Diesel,Manual,Second,22.32,22.32,4.75,HYUNDAI,VERNA 1.6,1582.0
212,2014,30000,Diesel,Manual,First,20.46,20.46,5.95,RENAULT,DUSTER 85PS,1461.0
213,2015,27057,Petrol,Manual,Second,15.29,15.29,8.15,HYUNDAI,CRETA 1.6,1591.0
214,2016,8500,Petrol,Automatic,First,20.51,20.51,4.22,MARUTI,WAGON R,998.0
215,2010,30500,Petrol,Automatic,First,11.74,11.74,10.5,MERCEDES-BENZ,NEW C-CLASS,1796.0
216,2012,56000,Diesel,Automatic,First,11.8,11.8,45.0,AUDI,A8 L,2967.0
217,2012,44000,Petrol,Manual,Second,19.81,19.81,2.9,HYUNDAI,I10 MAGNA,1086.0
218,2017,10500,Petrol,Automatic,First,14.3,14.3,8.9,SKODA,RAPID 1.6,1598.0
219,2017,26000,Petrol,Automatic,First,14.67,14.67,26.0,SKODA,SUPERB STYLE,1798.0
220,2018,25166,Petrol,Manual,First,17.19,17.19,8.22,HYUNDAI,I20 ACTIVE,1197.0
221,2014,64000,Diesel,Manual,Second,25.8,25.8,3.5,HONDA,AMAZE VX,1498.0
222,2004,61000,Petrol,Manual,Second,18.9,18.9,1.25,MARUTI,WAGON R,998.0
223,2013,107000,Diesel,Manual,First,21.03,21.03,3.7,MAHINDRA,VERITO 1.5,1461.0
224,2018,29161,Diesel,Automatic,First,19.27,19.27,39.41,MERCEDES-BENZ,NEW C-CLASS,2143.0
225,2013,32000,Petrol,Manual,First,22.5,22.5,2.65,MARUTI,WAGON R,998.0
226,2015,46173,Diesel,Manual,Second,19.01,19.01,8.92,NISSAN,TERRANO XV,1461.0
227,2013,47000,Diesel,Manual,First,17.8,17.8,4.1,MARUTI,SWIFT VDI,1248.0
228,2017,26327,Petrol,Automatic,First,16.82,16.82,35.67,MINI,COOPER CONVERTIBLE,1998.0
229,2015,70436,Diesel,Manual,First,0.0,0.0,3.6,FORD,FIGO DIESEL,1498.0
230,2007,200000,Diesel,Manual,Second,17.2,17.2,0.85,TATA,INDICA V2,1396.0
231,2016,60813,Petrol,Manual,Second,18.6,18.6,3.32,CHEVROLET,BEAT LT,1199.0
232,2012,45000,Diesel,Manual,First,22.07,22.07,3.6,VOLKSWAGEN,POLO DIESEL,1199.0
233,2016,64000,Diesel,Manual,First,22.9,22.9,6.8,MARUTI,SWIFT ZDI,1248.0
234,2012,41284,Diesel,Manual,First,20.0,20.0,2.5,FORD,FIGO DIESEL,1399.0
235,2019,14165,Diesel,Automatic,First,11.36,11.36,19.64,TOYOTA,INNOVA CRYSTA,2755.0
236,2011,67000,Diesel,Automatic,Second,11.72,11.72,7.0,HYUNDAI,SANTA FE,2199.0
237,2011,32572,Petrol,Manual,First,17.4,17.4,3.87,HONDA,CITY I-VTEC,1497.0
238,2018,14960,Petrol,Manual,First,18.6,18.6,6.27,HYUNDAI,I20 1.2,1197.0
239,2015,55980,Diesel,Automatic,First,19.27,19.27,18.12,MERCEDES-BENZ,NEW C-CLASS,2143.0
240,2013,74000,Diesel,Manual,First,25.44,25.44,2.65,CHEVROLET,BEAT DIESEL,936.0
241,2015,56847,Diesel,Manual,First,22.54,22.54,7.2,HYUNDAI,I20 SPORTZ,1396.0
242,2015,121374,Diesel,Manual,First,12.99,12.99,14.3,TOYOTA,INNOVA 2.5,2494.0
243,2013,52000,Diesel,Manual,First,20.77,20.77,6.9,MARUTI,ERTIGA VDI,1248.0
244,2014,118000,Diesel,Manual,First,12.8,12.8,10.75,TOYOTA,INNOVA 2.5,2494.0
245,2007,72000,Petrol,Manual,Third,17.0,17.0,0.95,HYUNDAI,SANTRO XING,1086.0
246,2016,33915,Petrol,Manual,First,17.8,17.8,8.09,HONDA,CITY I,1497.0
247,2014,82002,Diesel,Automatic,First,17.05,17.05,18.5,BMW,X1 SDRIVE20D,1995.0
248,2017,33000,Diesel,Manual,First,24.0,24.0,4.75,HYUNDAI,GRAND I10,1120.0
249,2016,34000,Diesel,Manual,First,28.09,28.09,8.45,MARUTI,CIAZ 1.3,1248.0
250,2012,55000,Diesel,Manual,First,20.5,20.5,3.5,SKODA,RAPID LEISURE,1598.0
251,2006,160538,Diesel,Manual,First,13.1,13.1,1.8,HYUNDAI,ACCENT CRDI,1493.0
252,2014,60000,Diesel,Manual,Second,19.91,19.91,3.7,VOLKSWAGEN,POLO GT,1498.0
253,2017,49575,Petrol,Manual,First,18.7,18.7,7.17,HONDA,JAZZ 1.2,1199.0
254,2010,83000,Petrol,Manual,First,19.81,19.81,1.75,HYUNDAI,I10 ERA,1086.0
255,2018,51346,Diesel,Automatic,First,16.38,16.38,21.99,HYUNDAI,TUCSON 2.0,1995.0
256,2017,43000,Diesel,Manual,First,13.68,13.68,18.65,TOYOTA,INNOVA CRYSTA,2393.0
257,2011,35000,Petrol,Manual,Third,19.7,19.7,1.85,MARUTI,OMNI MPI,796.0
258,2017,27872,Petrol,Manual,Second,20.4,20.4,5.95,MARUTI,SWIFT VXI,1197.0
259,2014,16514,Petrol,Manual,First,18.9,18.9,3.75,HYUNDAI,GRAND I10,1197.0
260,2012,120000,Diesel,Manual,First,22.9,22.9,3.75,MARUTI,SWIFT VDI,1248.0
261,2008,143275,Diesel,Manual,First,22.0,22.0,2.6,HYUNDAI,VERNA CRDI,1582.0
262,2006,99000,Petrol,Manual,First,0.0,0.0,1.75,HYUNDAI,SANTRO XING,1086.0
263,2010,52000,Petrol,Manual,First,17.0,17.0,2.8,HYUNDAI,I20 1.2,1197.0
264,2017,29819,Diesel,Automatic,First,11.57,11.57,61.29,MERCEDES-BENZ,GLE 350D,2987.0
265,2014,57000,Diesel,Manual,Second,15.8,15.8,18.0,MERCEDES-BENZ,NEW C-CLASS,2148.0
266,2014,88500,Diesel,Manual,First,23.2,23.2,4.35,MARUTI,RITZ ZDI,1248.0
267,2016,28000,Diesel,Manual,First,19.67,19.67,13.75,HYUNDAI,CRETA 1.6,1582.0
